Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
Human Settlements,Human Settlements,Gauteng,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Human Settlements,Human Settlements,Gauteng,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Number of jobs created through the Human Settlements Development Grant per financial year (Skilled Labour).,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",100,130,More compliant reports were received from the contractors. The exceeded target is evidence that the awareness initiatives held with contractors are beginning to bear fruit.,None.,Target exceeded,100,441,More compliant reports were received from the contractors. The exceeded target is evidence that the awareness initiatives held with contractors are beginning to bear fruit.,None.,,150,"327
",More compliant reports were received from the contractors.  The exceeded target is evidence that the awareness initiatives held with contractors are beginning to yield results.,The current performance rate will be taken into account when setting targets for the upcoming financial years.,150,"98

","Underperformance was due to insufficient information submitted to the Department by contractors and developers.

**364 work opportunities were achieved in the previous quarters but were not reported due to late submission by the contractors.

","The Department continues to engage developers and contractors through workshops, meetings, and targeted interventions led by the executive management. Further performance improvements are anticipated in the next FY.",Target not achieved.,500,996,,,,,,40
Human Settlements,Human Settlements,Gauteng,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Number of work opportunities created through the Human Settlements Development Grant and the Expanded Public Works Programme Incentive Grant each financial year (Unskilled Labour),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",300,300,None.,None.,Target achieved ,700,721,More compliant reports were received from the contractors.  The exceeded target is evidence that the awareness initiatives held with contractors are beginning to yield results.,None.,Target not achieved.,1500,"440
","Underperformance resulted from inadequate information submitted to the department by the contractors and developers.

**100 work opportunities were achieved in the second quarter but were not reported due to late submission by the contractors.",The department continuously engages the contractors and developers to enforce compliance with the reporting requirements. by the department. ,1500,"312

",Underperformance resulted from inadequate information submitted to the department by the contractors and developers.,The department continues to engage the contractors and developers to enforce compliance with the reporting requirements. by the department.,Target not achieved.,4000,1773,,,,,,40
Human Settlements,Human Settlements,Gauteng,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Percentage of fully compliant invoices received paid within 30 days per financial year,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,None.,None.,Target achieved ,100 %,100% %,None.,None.,Target achieved.,100 %,"100% 
 %",None.,None.,100 %,100% %,None.,None.,Target achieved.,100 %,100 %,,,,,,40
Human Settlements,Human Settlements,Gauteng,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Percentage of the Departmental procurement budget spend on People with Disabilities businesses.,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",3 %,1.33 %,The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set asides – hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference.,"The Department conducted road shows and awareness campaigns to educate designated groups suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
The Department will endeavour to improve performance during the current FY.",Target not achieved ,3 %,"0,51% %",The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set asides – hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference.,"The Department conducted road shows and awareness campaigns to educate designated groups suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
The Department will endeavour to improve performance during the current FY. 
",Target not achieved.,3 %,"3,50%

 %","The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set-asides, hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference. ","The Department conducted road shows and awareness campaigns to educate designated groups suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
Performance is expected to improve by the end of the financial year.
",3 %,"2,12%

 %","The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set-asides, hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference.","The Central Supplier Database (CSD) has now been sectionalised per designated groups and commodity to reduce broader competition and enhance targeted procurement. With this initiative, performance improvements are anticipated in the upcoming financial year.",Target not achieved.,3 %,0 %,,,,,,40
Human Settlements,Human Settlements,Gauteng,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Percentage of the Departmental procurement budget spend on Township-based businesses.,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",60 %,1.81 %,The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set asides – hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference.,"The Department conducted road shows and awareness campaigns to educate designated groups suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
The Department will endeavour to improve performance during the current FY.",Target not achieved ,60 %,2.13% %,The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set asides – hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference. ,"The Department conducted road shows and awareness campaigns to educate designated groups suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
The Department will endeavour to improve performance during the current FY. 
",Target not achieved.,60 %,"5,84% 
 %","The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set-asides, hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference. 

","The Department conducted road shows and awareness campaigns to educate designated groups of suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
Performance is expected to improve by the end of the financial year.
",60 %,"2,76% 

 %","The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set-asides, hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference.","The Central Supplier Database (CSD) has now been sectionalised per designated groups and commodity to reduce broader competition and enhance targeted procurement. With this initiative, performance improvements are anticipated in the upcoming financial year.",Target not achieved.,60 %,0 %,,,,,,40
Human Settlements,Human Settlements,Gauteng,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Percentage of the Departmental procurement budget spend on Women businesses.,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",40 %,14.47 %,The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set asides – hence the appointment is based in the responsiveness and compliance to the requirements of the terms of reference. ,"The Department conducted road shows and awareness campaigns to educate designated groups suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
The Department will endeavor to improve performance during the current FY. 
",Target not achieved ,40 %,"25,99% 


 %",The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set asides – hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference. ,"The Department conducted road shows and awareness campaigns to educate designated groups suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
The Department will endeavour to improve performance during the current FY. 
",Target not achieved.,40 %,"22,03%  %","The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set-asides, hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference. ","The Department conducted road shows and awareness campaigns to educate designated groups of suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
Performance is expected to improve by the end of the financial year.
",40 %,"15,51% 

 %","The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set-asides, hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference.","The Central Supplier Database (CSD) has now been sectionalised per designated groups and commodity to reduce broader competition and enhance targeted procurement. With this initiative, performance improvements are anticipated in the upcoming financial year.",Target not achieved.,40 %,0 %,,,,,,40
Human Settlements,Human Settlements,Gauteng,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Percentage of the Departmental procurement budget spend on Youth businesses.,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",20 %,7.44 %,The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set asides – hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference.,"The Department conducted road shows and awareness campaigns to educate designated groups suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
The Department will endeavour to improve performance during the current FY.",Target not achieved ,20 %,"10,87% %",The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set asides – hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference.,"The Department conducted road shows and awareness campaigns to educate designated groups suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
The Department will endeavour to improve performance during the current FY. 
",Target not achieved.,20 %,"16,98%

 %","The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set-asides, hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference. ","The Department conducted road shows and awareness campaigns to educate designated groups of suppliers on doing business with the state. Different stakeholders are invited to the sessions, i.e. CIDB, NHBRC, GEP, SARS and GPT.
Performance is expected to improve by the end of the financial year.
",20 %,"12,43%

 %","The challenge with channelling the procurement or ringfencing projects to designated groups is that the Procurement Act and Regulations do not provide or allow set-asides, hence the appointment is based on the responsiveness and compliance to the requirements of the terms of reference.","The Central Supplier Database (CSD) has now been sectionalised per designated groups and commodity to reduce broader competition and enhance targeted procurement. With this initiative, performance improvements are anticipated in the upcoming financial year.",Target not achieved.,20 %,0 %,,,,,,40
Human Settlements,Human Settlements,Gauteng,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.2: Policy,Quarterly,Number of Gauteng Department of Human Settlements policies developed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",-,No Planned Output.,None.,"None.
",N/A,-,0,None.,None.,,1 Draft policy developed,"1 policy developed.

",The policy development processes were quicker than anticipated. This was attributed to the efficient document flow resulting in early approvals.,None.,1 Policy developed (final),"1 Policy developed (final) 

",None.,None.,Target achieved.,1 Policy developed,-,,,,,,40
Human Settlements,Human Settlements,Gauteng,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Annually,Project pipeline updated annually,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,Project pipeline updated.,"Project pipeline updated.
Target Achieved",,,,Project pipeline updated.,"Project pipeline updated.
Target Achieved",,None.,None.,,,40
Human Settlements,Human Settlements,Gauteng,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,Percentage of investment of the total Human Settlements allocation in PDAs,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",0 %,0 %,None.,None.,N/A,10 %,"12,36% %","The exceeded target was attributed to increased spending at the Project Implementation Level, resultant from higher rate of housing  delivery than planned. ",None.,,20 %,"23,03%

 %","The exceeded target was due to increased spending at the project implementation level, resulting from the higher rate of housing delivery than planned. ",None.,33 %,"34,40%

 %","The exceeded target was due to increased spending at the project implementation level, resulting from the higher rate of housing delivery than planned. ",None.,,33 %,0 %,,,,,,40
Human Settlements,Human Settlements,Gauteng,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,Percentage of land acquired during 2014-2019 within the PDA’s rezoned ,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",0 %,0 %,None.,"None.
",N/A ,10 %,"0%

**All rezoning processes have been concluded, awaiting the issuance of the zoning certificate by the municipality. %",Municipal Planning Unit delayed the issuing of zoning certificates.,The issue of delays in the issuance of the rezoning certificates was escalated to Municipal Management for assistance. ,Target not achieved.,20 %,"14%


 %","Outstanding confirmation of zoning, emanating from the delays in issuing the zoning certificates by the municipality.","The issue of delays in issuing the rezoning certificates was escalated to Municipal Management for assistance. 
The Department has arranged to meet with the municipality to facilitate the speedy issuance of the zoning certificates.  

The missed target will be achieved in the fourth quarter.
",40 %,"40%

 %",None.,None.,Target achieved.,40 %,0 %,,,,,,40
Human Settlements,Human Settlements,Gauteng,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.4: Research,Quarterly,Number of Human Settlements research reports completed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",Research proposal/Terms of Reference,"Research proposal.

Target Achieved.",None.,None.,,-,0,None.,None.,,Draft research report completed,"Draft research report completed.

",None.,None.,Research report completed (Final),"Research report completed (final) 

",None.,None.,Target achieved.,1 Research Report completed,-,,,,,,40
Human Settlements,Human Settlements,Gauteng,Programme 3: Housing Development,Sub-programme 3.10: BENEFICIARY MANAGEMENT,Quarterly,Percentage of quality assured housing units allocated to approved beneficiaries,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,"Out of the 864 readily available housing units, 864 have been allocated to the approved beneficiaries. 
Target Not Achieved.",None.,Target achieved,100 %,"99,31%  %",The Department could not allocate some houses as the beneficiaries were said to be deceased.  The reason for deviation could not be corroborated with supporting evidence.,None.,Target not achieved.,100 %,"98,55%

**Out of 896 quality assured houses readily available for allocation, 883 were allocated to the approved beneficiaries.
 %","Not all the completed houses could be allocated due to various reasons, namely: delays in obtaining letters of authority to enable the timeous allocation; some beneficiaries fail to show up during allocations; outstanding compliance issues between the municipality and the developer preventing speedy allocation of houses.","The department is in the process of reviewing the relevant policy to deal with allocation challenges.
The municipality made a commitment to appoint a service provider who will deal with the compliance issues affecting the beneficiary allocation.

",100 %,"100%
**Out of 1 906 quality assured houses readily available for allocation, 1 906 were allocated to the approved beneficiaries %",None.,None.,Target achieved.,100 %,100 %,,,,,,40
Human Settlements,Human Settlements,Gauteng,Programme 3: Housing Development,Sub-programme 3.11: QUALITY ASSURANCE ,Quarterly,Number of subsidy housing projects enrolled with the NHBRC,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",2,3,The target is demand driven. There were more applications received during quarter which led to the exceeded targets.,The performance contributes to the achievement of the annual target.,Target exceeded,4,5,The target is demand driven. There were more applications received during quarter which led to the exceeded targets.,None.,,2,4,"The target is demand-driven. There were more applications received, which led to the exceeded targets.",None.,0,"1

","The target is demand-driven. There were more applications received, which led to the exceeded targets.",None.,"Progress is noted; however, the target was not due in Q4.",8,13,,,,,,40
