Function group;Econ2;Econ3;Financial year;Value
General public services;Payments for capital assets;Machinery and equipment;2018;610832
General public services;Payments for capital assets;Machinery and equipment;2019;427599
General public services;Payments for capital assets;Machinery and equipment;2020;606110
General public services;Payments for capital assets;Machinery and equipment;2021;697434
General public services;Payments for capital assets;Machinery and equipment;2022;494184
General public services;Payments for capital assets;Machinery and equipment;2023;267849
General public services;Payments for capital assets;Machinery and equipment;2024;260509
General public services;Current payments;Compensation of employees;2018;20360884
General public services;Current payments;Compensation of employees;2019;20352181
General public services;Current payments;Compensation of employees;2020;20232080
General public services;Current payments;Compensation of employees;2021;22533688
General public services;Current payments;Compensation of employees;2022;23405268
General public services;Current payments;Compensation of employees;2023;23491986
General public services;Current payments;Compensation of employees;2024;23060187
General public services;Current payments;Goods and services;2018;13910243
General public services;Current payments;Goods and services;2019;13032149
General public services;Current payments;Goods and services;2020;12587428
General public services;Current payments;Goods and services;2021;16643651
General public services;Current payments;Goods and services;2022;14983426
General public services;Current payments;Goods and services;2023;15287880
General public services;Current payments;Goods and services;2024;16332571
General public services;Payments for financial assets;Payments for financial assets;2018;6439582
General public services;Payments for financial assets;Payments for financial assets;2019;57097380
General public services;Payments for financial assets;Payments for financial assets;2020;81296744
General public services;Payments for financial assets;Payments for financial assets;2021;67609692
General public services;Payments for financial assets;Payments for financial assets;2022;24690612
General public services;Payments for financial assets;Payments for financial assets;2023;22015100
General public services;Payments for financial assets;Payments for financial assets;2024;22000010
General public services;Transfers and subsidies;Households;2018;138882
General public services;Transfers and subsidies;Households;2019;109307
General public services;Transfers and subsidies;Households;2020;126519
General public services;Transfers and subsidies;Households;2021;513754
General public services;Transfers and subsidies;Households;2022;85414
General public services;Transfers and subsidies;Households;2023;72466
General public services;Transfers and subsidies;Households;2024;73560
General public services;Transfers and subsidies;Provinces and municipalities;2018;3912985
General public services;Transfers and subsidies;Provinces and municipalities;2019;4561715
General public services;Transfers and subsidies;Provinces and municipalities;2020;4541090
General public services;Transfers and subsidies;Provinces and municipalities;2021;4933212
General public services;Transfers and subsidies;Provinces and municipalities;2022;4820207
General public services;Transfers and subsidies;Provinces and municipalities;2023;4584951
General public services;Transfers and subsidies;Provinces and municipalities;2024;4804876
General public services;Current payments;Goods and services;2018;4344624
General public services;Current payments;Goods and services;2019;4627089
General public services;Current payments;Goods and services;2020;3896628
General public services;Current payments;Goods and services;2021;5087070
General public services;Current payments;Goods and services;2022;4993718
General public services;Current payments;Goods and services;2023;4969506
General public services;Current payments;Goods and services;2024;4812879
General public services;Payments for capital assets;Machinery and equipment;2018;177153
General public services;Payments for capital assets;Machinery and equipment;2019;190653
General public services;Payments for capital assets;Machinery and equipment;2020;211662
General public services;Payments for capital assets;Machinery and equipment;2021;194911
General public services;Payments for capital assets;Machinery and equipment;2022;214618
General public services;Payments for capital assets;Machinery and equipment;2023;211354
General public services;Payments for capital assets;Machinery and equipment;2024;218232
General public services;Current payments;Compensation of employees;2018;6893584
General public services;Current payments;Compensation of employees;2019;7737653
General public services;Current payments;Compensation of employees;2020;7547962
General public services;Current payments;Compensation of employees;2021;7898008
General public services;Current payments;Compensation of employees;2022;8255040
General public services;Current payments;Compensation of employees;2023;8278457
General public services;Current payments;Compensation of employees;2024;8568011
General public services;Transfers and subsidies;Households;2018;319097
General public services;Transfers and subsidies;Households;2019;604307
General public services;Transfers and subsidies;Households;2020;328755
General public services;Transfers and subsidies;Households;2021;513818
General public services;Transfers and subsidies;Households;2022;385406
General public services;Transfers and subsidies;Households;2023;387917
General public services;Transfers and subsidies;Households;2024;393373
General public services;Payments for capital assets;Buildings and other fixed structures;2018;203375
General public services;Payments for capital assets;Buildings and other fixed structures;2019;39614
General public services;Payments for capital assets;Buildings and other fixed structures;2020;9463
General public services;Payments for capital assets;Buildings and other fixed structures;2021;29945
General public services;Payments for capital assets;Buildings and other fixed structures;2022;41691
General public services;Payments for capital assets;Buildings and other fixed structures;2023;35760
General public services;Payments for capital assets;Buildings and other fixed structures;2024;36312
Community development;Transfers and subsidies;Public corporations and private enterprises;2018;12425684
Community development;Transfers and subsidies;Public corporations and private enterprises;2019;12927718
Community development;Transfers and subsidies;Public corporations and private enterprises;2020;11667642
Community development;Transfers and subsidies;Public corporations and private enterprises;2021;13045403
Community development;Transfers and subsidies;Public corporations and private enterprises;2022;15629971
Community development;Transfers and subsidies;Public corporations and private enterprises;2023;16679984
Community development;Transfers and subsidies;Public corporations and private enterprises;2024;17539451
Community development;Transfers and subsidies;Provinces and municipalities;2018;118363233
Community development;Transfers and subsidies;Provinces and municipalities;2019;122854863
Community development;Transfers and subsidies;Provinces and municipalities;2020;136754531
Community development;Transfers and subsidies;Provinces and municipalities;2021;135034551
Community development;Transfers and subsidies;Provinces and municipalities;2022;149983261
Community development;Transfers and subsidies;Provinces and municipalities;2023;159785530
Community development;Transfers and subsidies;Provinces and municipalities;2024;169400276
Community development;Transfers and subsidies;Households;2018;17822889
Community development;Transfers and subsidies;Households;2019;18887359
Community development;Transfers and subsidies;Households;2020;14679296
Community development;Transfers and subsidies;Households;2021;17644446
Community development;Payments for capital assets;Buildings and other fixed structures;2018;5850078
Community development;Payments for capital assets;Buildings and other fixed structures;2019;3736310
Community development;Payments for capital assets;Buildings and other fixed structures;2020;3265740
Community development;Payments for capital assets;Buildings and other fixed structures;2021;6039654
Community development;Payments for capital assets;Buildings and other fixed structures;2022;7521114
Community development;Payments for capital assets;Buildings and other fixed structures;2023;8948205
Community development;Payments for capital assets;Buildings and other fixed structures;2024;9266684
Community development;Transfers and subsidies;Households;2022;18039643
Community development;Transfers and subsidies;Households;2023;19392965
Community development;Transfers and subsidies;Households;2024;19754874
Community development;Payments for capital assets;Machinery and equipment;2018;2482273
Community development;Payments for capital assets;Machinery and equipment;2019;2069273
Community development;Payments for capital assets;Machinery and equipment;2020;3458938
Community development;Payments for capital assets;Machinery and equipment;2021;5317961
Community development;Payments for capital assets;Machinery and equipment;2022;8099514
Community development;Payments for capital assets;Machinery and equipment;2023;10835170
Community development;Payments for capital assets;Machinery and equipment;2024;12756210
Community development;Current payments;Compensation of employees;2018;16204279
Community development;Current payments;Compensation of employees;2019;17285864
Community development;Current payments;Compensation of employees;2020;17120425
Community development;Current payments;Compensation of employees;2021;17214036
Community development;Current payments;Compensation of employees;2022;17910165
Community development;Current payments;Compensation of employees;2023;17931193
Community development;Current payments;Compensation of employees;2024;18544904
Community development;Current payments;Goods and services;2018;12966466
Community development;Current payments;Goods and services;2019;14385690
Community development;Current payments;Goods and services;2020;11487558
Community development;Current payments;Goods and services;2021;14424516
Community development;Current payments;Goods and services;2022;14516185
Community development;Current payments;Goods and services;2023;14432492
Community development;Current payments;Goods and services;2024;15153498
Community development;Transfers and subsidies;Non-profit institutions;2018;122550
Community development;Transfers and subsidies;Non-profit institutions;2019;182110
Community development;Transfers and subsidies;Non-profit institutions;2020;104475
Community development;Transfers and subsidies;Non-profit institutions;2021;93507
Community development;Transfers and subsidies;Non-profit institutions;2022;78796
Community development;Transfers and subsidies;Non-profit institutions;2023;74037
Community development;Transfers and subsidies;Non-profit institutions;2024;77112
Community development;Payments for financial assets;Payments for financial assets;2019;788779
Community development;Payments for financial assets;Payments for financial assets;2018;736228
Community development;Payments for capital assets;Software and other intangible assets;2019;84904
Community development;Payments for capital assets;Software and other intangible assets;2020;74074
Community development;Transfers and subsidies;Departmental agencies and accounts;2018;2462351
Community development;Transfers and subsidies;Departmental agencies and accounts;2019;2658854
Community development;Transfers and subsidies;Departmental agencies and accounts;2020;3021713
Community development;Transfers and subsidies;Departmental agencies and accounts;2021;3056199
Community development;Transfers and subsidies;Departmental agencies and accounts;2022;2736287
Community development;Transfers and subsidies;Departmental agencies and accounts;2023;2726957
Community development;Transfers and subsidies;Departmental agencies and accounts;2024;2725607
Community development;Current payments;Interest and rent on land;2018;157330
Community development;Current payments;Interest and rent on land;2020;133544
General public services;Payments for capital assets;Software and other intangible assets;2018;340725
General public services;Payments for capital assets;Software and other intangible assets;2019;326499
General public services;Payments for capital assets;Software and other intangible assets;2020;340534
General public services;Payments for capital assets;Software and other intangible assets;2021;716107
General public services;Payments for capital assets;Software and other intangible assets;2022;148218
General public services;Payments for capital assets;Software and other intangible assets;2023;166445
General public services;Payments for capital assets;Software and other intangible assets;2024;163788
General public services;Payments for capital assets;Buildings and other fixed structures;2018;1257771
General public services;Payments for capital assets;Buildings and other fixed structures;2019;1522434
General public services;Payments for capital assets;Buildings and other fixed structures;2020;1096968
General public services;Payments for capital assets;Buildings and other fixed structures;2021;1172495
General public services;Payments for capital assets;Buildings and other fixed structures;2022;978453
General public services;Payments for capital assets;Buildings and other fixed structures;2023;938534
General public services;Payments for capital assets;Buildings and other fixed structures;2024;975923
Economic development;Payments for capital assets;Machinery and equipment;2018;345389
Economic development;Payments for capital assets;Machinery and equipment;2019;367643
Economic development;Payments for capital assets;Machinery and equipment;2020;320387
Economic development;Payments for capital assets;Machinery and equipment;2021;381125
Economic development;Payments for capital assets;Machinery and equipment;2022;303341
Economic development;Payments for capital assets;Machinery and equipment;2023;305193
Economic development;Payments for capital assets;Machinery and equipment;2024;315415
Economic development;Payments for capital assets;Software and other intangible assets;2018;70608
Economic development;Payments for capital assets;Software and other intangible assets;2019;57772
Economic development;Payments for capital assets;Software and other intangible assets;2020;41635
Economic development;Payments for capital assets;Software and other intangible assets;2021;135416
Economic development;Payments for capital assets;Software and other intangible assets;2022;117034
Economic development;Payments for capital assets;Software and other intangible assets;2023;71770
Economic development;Payments for capital assets;Software and other intangible assets;2024;76172
Economic development;Current payments;Compensation of employees;2018;9261705
Economic development;Current payments;Compensation of employees;2019;9634011
Economic development;Current payments;Compensation of employees;2020;9277884
Economic development;Current payments;Compensation of employees;2021;10235262
Economic development;Current payments;Compensation of employees;2022;10916317
Economic development;Current payments;Compensation of employees;2023;11178156
Economic development;Current payments;Compensation of employees;2024;11671251
Economic development;Current payments;Goods and services;2018;6016555
Economic development;Current payments;Goods and services;2019;6620058
Economic development;Current payments;Goods and services;2020;4712645
Economic development;Current payments;Goods and services;2021;3598308
Economic development;Current payments;Goods and services;2022;5932563
Economic development;Current payments;Goods and services;2023;4702680
Economic development;Current payments;Goods and services;2024;5013904
Economic development;Payments for capital assets;Buildings and other fixed structures;2018;370888
Economic development;Payments for capital assets;Buildings and other fixed structures;2020;358020
Economic development;Payments for capital assets;Buildings and other fixed structures;2021;138477
Economic development;Payments for capital assets;Buildings and other fixed structures;2022;108451
Economic development;Payments for capital assets;Buildings and other fixed structures;2023;116582
Economic development;Payments for capital assets;Buildings and other fixed structures;2024;119908
Economic development;Payments for capital assets;Machinery and equipment;2018;198853
Economic development;Payments for capital assets;Machinery and equipment;2019;222444
Economic development;Payments for capital assets;Machinery and equipment;2020;188422
Economic development;Payments for capital assets;Machinery and equipment;2021;151376
Economic development;Payments for capital assets;Machinery and equipment;2022;162772
Economic development;Payments for capital assets;Machinery and equipment;2023;113760
Economic development;Payments for capital assets;Machinery and equipment;2024;118517
Economic development;Payments for capital assets;Software and other intangible assets;2018;64410
Economic development;Payments for capital assets;Software and other intangible assets;2019;118779
Economic development;Payments for capital assets;Software and other intangible assets;2020;106866
Economic development;Payments for capital assets;Software and other intangible assets;2021;75367
Economic development;Payments for capital assets;Software and other intangible assets;2022;79502
Economic development;Payments for capital assets;Software and other intangible assets;2023;82960
Economic development;Payments for capital assets;Software and other intangible assets;2024;87114
Economic development;Current payments;Compensation of employees;2018;3008841
Economic development;Current payments;Compensation of employees;2019;3279069
Economic development;Current payments;Compensation of employees;2020;3349498
Economic development;Current payments;Compensation of employees;2021;3541144
Economic development;Current payments;Compensation of employees;2022;3741548
Economic development;Current payments;Compensation of employees;2023;4110126
Economic development;Current payments;Compensation of employees;2024;4301247
Economic development;Current payments;Goods and services;2018;8128813
Economic development;Current payments;Goods and services;2019;9410283
Economic development;Current payments;Goods and services;2020;5737553
Economic development;Current payments;Goods and services;2021;8744509
Economic development;Current payments;Goods and services;2022;10823689
Economic development;Current payments;Goods and services;2023;11380952
Economic development;Current payments;Goods and services;2024;11825238
Economic development;Transfers and subsidies;Departmental agencies and accounts;2018;374262
Economic development;Payments for capital assets;Buildings and other fixed structures;2019;269490
Economic development;Transfers and subsidies;Departmental agencies and accounts;2019;1130571
Economic development;Transfers and subsidies;Departmental agencies and accounts;2020;536949
Economic development;Transfers and subsidies;Departmental agencies and accounts;2021;931416
Economic development;Transfers and subsidies;Departmental agencies and accounts;2022;898921
Economic development;Transfers and subsidies;Departmental agencies and accounts;2023;881272
Economic development;Transfers and subsidies;Departmental agencies and accounts;2024;490102
Economic development;Transfers and subsidies;Households;2018;5474568
Economic development;Transfers and subsidies;Households;2019;5432547
Economic development;Transfers and subsidies;Households;2020;7273659
Economic development;Transfers and subsidies;Households;2021;6036418
Economic development;Transfers and subsidies;Households;2022;6930165
Economic development;Transfers and subsidies;Households;2023;6956818
Economic development;Transfers and subsidies;Households;2024;7269245
Economic development;Transfers and subsidies;Non-profit institutions;2023;1401118
Economic development;Transfers and subsidies;Non-profit institutions;2024;1464044
Health;Current payments;Goods and services;2018;59619650
Health;Current payments;Goods and services;2019;63564487
Health;Current payments;Goods and services;2020;77224797
Health;Current payments;Goods and services;2021;81243027
Health;Current payments;Goods and services;2022;78852607
Health;Current payments;Goods and services;2023;71544838
Health;Current payments;Goods and services;2024;74227598
Health;Payments for capital assets;Machinery and equipment;2018;3451507
Health;Payments for capital assets;Machinery and equipment;2019;5018103
Health;Payments for capital assets;Machinery and equipment;2020;6206984
Health;Payments for capital assets;Machinery and equipment;2021;5931977
Health;Payments for capital assets;Machinery and equipment;2022;5516886
Health;Payments for capital assets;Machinery and equipment;2023;4874870
Health;Payments for capital assets;Machinery and equipment;2024;4991009
Health;Current payments;Compensation of employees;2018;130378386
Health;Current payments;Compensation of employees;2019;140991268
Health;Current payments;Compensation of employees;2020;148479670
Health;Current payments;Compensation of employees;2021;156613216
Health;Current payments;Compensation of employees;2022;159591602
Health;Current payments;Compensation of employees;2023;155608831
Health;Current payments;Compensation of employees;2024;162020234
Health;Transfers and subsidies;Households;2018;3616446
Health;Transfers and subsidies;Households;2019;3254467
Health;Transfers and subsidies;Households;2020;2936597
Health;Transfers and subsidies;Households;2022;2572114
Health;Transfers and subsidies;Non-profit institutions;2018;2305100
Health;Transfers and subsidies;Non-profit institutions;2019;2123066
Health;Transfers and subsidies;Non-profit institutions;2020;1506635
Health;Transfers and subsidies;Non-profit institutions;2021;1656644
Health;Transfers and subsidies;Non-profit institutions;2022;1726791
Health;Transfers and subsidies;Non-profit institutions;2023;1780519
Health;Transfers and subsidies;Non-profit institutions;2024;1812318
Health;Transfers and subsidies;Provinces and municipalities;2018;1516083
Health;Transfers and subsidies;Provinces and municipalities;2019;1531863
Health;Transfers and subsidies;Provinces and municipalities;2020;1357576
Health;Transfers and subsidies;Provinces and municipalities;2021;1388138
Health;Transfers and subsidies;Provinces and municipalities;2022;1456719
Health;Transfers and subsidies;Provinces and municipalities;2023;1484904
Health;Transfers and subsidies;Provinces and municipalities;2024;1785875
Economic development;Current payments;Interest and rent on land;2018;74329
Economic development;Current payments;Interest and rent on land;2019;2722
Economic development;Current payments;Interest and rent on land;2020;600
Economic development;Current payments;Interest and rent on land;2021;1023
Economic development;Current payments;Interest and rent on land;2022;386
Economic development;Current payments;Interest and rent on land;2023;1005
Economic development;Current payments;Interest and rent on land;2024;425
Economic development;Current payments;Goods and services;2018;7067924
Economic development;Current payments;Goods and services;2019;8291106
Economic development;Current payments;Goods and services;2020;6432012
Economic development;Current payments;Goods and services;2021;7753030
Economic development;Current payments;Goods and services;2022;7390974
Economic development;Current payments;Goods and services;2023;7082066
Economic development;Current payments;Goods and services;2024;7456313
Economic development;Transfers and subsidies;Households;2018;3103331
Economic development;Transfers and subsidies;Households;2019;1895251
Economic development;Transfers and subsidies;Households;2020;2419553
Economic development;Transfers and subsidies;Households;2021;3641811
Economic development;Transfers and subsidies;Households;2022;4061753
Economic development;Transfers and subsidies;Households;2023;4234850
Economic development;Transfers and subsidies;Households;2024;4427060
Economic development;Transfers and subsidies;Departmental agencies and accounts;2018;708880
Economic development;Transfers and subsidies;Departmental agencies and accounts;2019;618965
Economic development;Transfers and subsidies;Departmental agencies and accounts;2020;624708
Economic development;Transfers and subsidies;Departmental agencies and accounts;2021;516885
Economic development;Transfers and subsidies;Departmental agencies and accounts;2022;476709
Economic development;Transfers and subsidies;Departmental agencies and accounts;2023;467967
Economic development;Transfers and subsidies;Departmental agencies and accounts;2024;489112
Economic development;Payments for capital assets;Machinery and equipment;2018;456133
Economic development;Payments for capital assets;Machinery and equipment;2019;597948
Economic development;Payments for capital assets;Machinery and equipment;2020;489256
Economic development;Payments for capital assets;Machinery and equipment;2021;307590
Economic development;Payments for capital assets;Machinery and equipment;2022;438036
Economic development;Payments for capital assets;Machinery and equipment;2023;596917
Economic development;Payments for capital assets;Machinery and equipment;2024;625361
Economic development;Payments for capital assets;Software and other intangible assets;2018;14093
Economic development;Payments for capital assets;Software and other intangible assets;2019;10722
Economic development;Payments for capital assets;Software and other intangible assets;2020;10864
Economic development;Payments for capital assets;Software and other intangible assets;2021;21239
Economic development;Payments for capital assets;Software and other intangible assets;2022;33504
Economic development;Payments for capital assets;Software and other intangible assets;2023;2566
Economic development;Payments for capital assets;Software and other intangible assets;2024;2661
Economic development;Current payments;Compensation of employees;2018;10939510
Economic development;Current payments;Compensation of employees;2019;11720296
Economic development;Current payments;Compensation of employees;2020;11230242
Economic development;Current payments;Compensation of employees;2021;11783116
Economic development;Current payments;Compensation of employees;2022;12040348
Economic development;Current payments;Compensation of employees;2023;11979519
Economic development;Current payments;Compensation of employees;2024;12427991
General public services;Current payments;Interest and rent on land;2018;85649
General public services;Current payments;Interest and rent on land;2019;2137
General public services;Current payments;Interest and rent on land;2020;2626
General public services;Current payments;Interest and rent on land;2021;22525
General public services;Current payments;Interest and rent on land;2022;2569
General public services;Current payments;Interest and rent on land;2023;33760
General public services;Current payments;Interest and rent on land;2024;29009
General public services;Transfers and subsidies;Non-profit institutions;2018;25642
General public services;Transfers and subsidies;Non-profit institutions;2019;8159
General public services;Transfers and subsidies;Non-profit institutions;2020;7639
General public services;Transfers and subsidies;Non-profit institutions;2021;15093
General public services;Transfers and subsidies;Non-profit institutions;2022;15504
General public services;Transfers and subsidies;Non-profit institutions;2023;15566
General public services;Transfers and subsidies;Non-profit institutions;2024;16266
General public services;Transfers and subsidies;Departmental agencies and accounts;2018;691599
General public services;Transfers and subsidies;Departmental agencies and accounts;2019;883073
General public services;Transfers and subsidies;Departmental agencies and accounts;2020;938000
General public services;Transfers and subsidies;Departmental agencies and accounts;2021;1126310
General public services;Transfers and subsidies;Departmental agencies and accounts;2022;1123473
General public services;Transfers and subsidies;Departmental agencies and accounts;2023;903758
General public services;Transfers and subsidies;Departmental agencies and accounts;2024;505919
Economic development;Current payments;Compensation of employees;2018;4531957
Economic development;Current payments;Compensation of employees;2019;4215954
Economic development;Current payments;Compensation of employees;2020;4629666
Economic development;Current payments;Compensation of employees;2021;4959081
Economic development;Current payments;Compensation of employees;2022;5320297
Economic development;Current payments;Compensation of employees;2023;5447526
Economic development;Current payments;Compensation of employees;2024;5659885
Economic development;Current payments;Goods and services;2018;3004316
Economic development;Current payments;Goods and services;2019;3456122
Economic development;Current payments;Goods and services;2020;2848737
Economic development;Current payments;Goods and services;2021;3447697
Economic development;Current payments;Goods and services;2022;3659293
Economic development;Current payments;Goods and services;2023;3678091
Economic development;Current payments;Goods and services;2024;3881467
Economic development;Payments for capital assets;Buildings and other fixed structures;2018;196661
Economic development;Payments for capital assets;Buildings and other fixed structures;2019;106231
Economic development;Payments for capital assets;Buildings and other fixed structures;2020;64469
Economic development;Payments for capital assets;Buildings and other fixed structures;2021;112083
Economic development;Payments for capital assets;Buildings and other fixed structures;2022;207393
Economic development;Payments for capital assets;Buildings and other fixed structures;2023;248288
Economic development;Payments for capital assets;Buildings and other fixed structures;2024;222961
Economic development;Transfers and subsidies;Public corporations and private enterprises;2018;784252
Economic development;Transfers and subsidies;Public corporations and private enterprises;2019;615158
Economic development;Transfers and subsidies;Public corporations and private enterprises;2020;622730
Economic development;Transfers and subsidies;Public corporations and private enterprises;2021;458005
Economic development;Transfers and subsidies;Public corporations and private enterprises;2022;425470
Economic development;Transfers and subsidies;Public corporations and private enterprises;2023;432754
Economic development;Transfers and subsidies;Public corporations and private enterprises;2024;296218
Economic development;Transfers and subsidies;Departmental agencies and accounts;2018;3464371
Economic development;Transfers and subsidies;Departmental agencies and accounts;2019;3454941
Economic development;Transfers and subsidies;Departmental agencies and accounts;2020;3632947
Economic development;Transfers and subsidies;Departmental agencies and accounts;2021;4481253
Economic development;Transfers and subsidies;Departmental agencies and accounts;2022;4668093
Economic development;Transfers and subsidies;Departmental agencies and accounts;2023;4758485
Economic development;Transfers and subsidies;Departmental agencies and accounts;2024;4947954
Economic development;Payments for capital assets;Machinery and equipment;2018;273715
Economic development;Payments for capital assets;Machinery and equipment;2019;252573
Economic development;Payments for capital assets;Machinery and equipment;2020;270101
Economic development;Payments for capital assets;Machinery and equipment;2021;766962
Economic development;Payments for capital assets;Machinery and equipment;2022;928880
Economic development;Payments for capital assets;Machinery and equipment;2023;333892
Economic development;Payments for capital assets;Machinery and equipment;2024;403870
Economic development;Transfers and subsidies;Households;2018;2279445
Economic development;Transfers and subsidies;Households;2019;1901125
Economic development;Transfers and subsidies;Households;2020;1665161
Economic development;Transfers and subsidies;Households;2021;2363519
Economic development;Transfers and subsidies;Households;2022;2162250
Economic development;Transfers and subsidies;Households;2023;2226789
Economic development;Transfers and subsidies;Households;2024;2220762
Economic development;Payments for capital assets;Biological assets;2018;12571
Economic development;Payments for capital assets;Biological assets;2019;8544
Economic development;Payments for capital assets;Biological assets;2020;17824
Economic development;Payments for capital assets;Biological assets;2021;66655
Economic development;Payments for capital assets;Biological assets;2022;90161
Economic development;Payments for capital assets;Biological assets;2023;18395
Economic development;Payments for capital assets;Biological assets;2024;19222
Economic development;Payments for capital assets;Buildings and other fixed structures;2018;1537681
Economic development;Payments for capital assets;Buildings and other fixed structures;2019;1514252
Economic development;Payments for capital assets;Buildings and other fixed structures;2020;1269543
Economic development;Payments for capital assets;Buildings and other fixed structures;2021;1139547
Economic development;Payments for capital assets;Buildings and other fixed structures;2022;1059367
Economic development;Payments for capital assets;Buildings and other fixed structures;2023;1293883
Economic development;Payments for capital assets;Buildings and other fixed structures;2024;1233325
Economic development;Transfers and subsidies;Higher education institutions;2018;60730
Economic development;Transfers and subsidies;Higher education institutions;2019;63009
Economic development;Transfers and subsidies;Higher education institutions;2020;66976
Economic development;Transfers and subsidies;Higher education institutions;2021;72561
Economic development;Transfers and subsidies;Higher education institutions;2022;65657
Economic development;Transfers and subsidies;Higher education institutions;2023;68600
Economic development;Transfers and subsidies;Higher education institutions;2024;71682
Economic development;Current payments;Interest and rent on land;2018;2717
Economic development;Current payments;Interest and rent on land;2019;3705
Economic development;Current payments;Interest and rent on land;2020;7950
Economic development;Current payments;Interest and rent on land;2021;2757
Economic development;Current payments;Interest and rent on land;2022;1743
Economic development;Current payments;Interest and rent on land;2023;1747
Economic development;Current payments;Interest and rent on land;2024;1758
Community development;Payments for capital assets;Software and other intangible assets;2018;46599
Community development;Payments for capital assets;Software and other intangible assets;2021;72052
Community development;Payments for capital assets;Software and other intangible assets;2022;349310
Community development;Payments for capital assets;Software and other intangible assets;2023;383757
Community development;Payments for capital assets;Software and other intangible assets;2024;395953
Community development;Current payments;Interest and rent on land;2019;179335
Community development;Current payments;Interest and rent on land;2021;88628
Community development;Current payments;Interest and rent on land;2022;99528
Community development;Current payments;Interest and rent on land;2023;132013
Community development;Current payments;Interest and rent on land;2024;160638
Health;Transfers and subsidies;Departmental agencies and accounts;2018;180100
Health;Transfers and subsidies;Departmental agencies and accounts;2019;476329
Health;Transfers and subsidies;Departmental agencies and accounts;2020;638483
Health;Transfers and subsidies;Departmental agencies and accounts;2021;992623
Health;Transfers and subsidies;Departmental agencies and accounts;2022;655969
Health;Transfers and subsidies;Departmental agencies and accounts;2023;634658
Health;Transfers and subsidies;Departmental agencies and accounts;2024;617322
Economic development;Current payments;Goods and services;2018;34879561
Economic development;Current payments;Goods and services;2019;30569046
Economic development;Current payments;Goods and services;2020;33053186
Economic development;Current payments;Goods and services;2021;35879664
Economic development;Current payments;Goods and services;2022;42904188
Economic development;Current payments;Goods and services;2023;46582485
Economic development;Current payments;Goods and services;2024;54521232
Economic development;Current payments;Interest and rent on land;2018;9301239
Economic development;Current payments;Interest and rent on land;2019;8599964
Economic development;Current payments;Interest and rent on land;2020;8623381
Economic development;Current payments;Interest and rent on land;2021;8161612
Economic development;Current payments;Interest and rent on land;2022;8638610
Economic development;Current payments;Interest and rent on land;2023;8267265
Economic development;Current payments;Interest and rent on land;2024;8003366
Economic development;Payments for capital assets;Machinery and equipment;2018;1793960
Economic development;Payments for capital assets;Machinery and equipment;2019;1581314
Economic development;Payments for capital assets;Machinery and equipment;2020;1181600
Economic development;Payments for capital assets;Machinery and equipment;2021;2998885
Economic development;Payments for capital assets;Machinery and equipment;2022;2498262
Economic development;Payments for capital assets;Machinery and equipment;2023;2090855
Economic development;Payments for capital assets;Machinery and equipment;2024;2259917
Economic development;Payments for capital assets;Software and other intangible assets;2018;373259
Economic development;Payments for capital assets;Software and other intangible assets;2019;279080
Economic development;Payments for capital assets;Software and other intangible assets;2020;238022
Economic development;Payments for capital assets;Software and other intangible assets;2021;205627
Economic development;Payments for capital assets;Software and other intangible assets;2022;212370
Economic development;Payments for capital assets;Software and other intangible assets;2023;195639
Economic development;Payments for capital assets;Software and other intangible assets;2024;198031
Economic development;Current payments;Compensation of employees;2018;20433627
Economic development;Current payments;Compensation of employees;2019;21097568
Economic development;Current payments;Compensation of employees;2020;21433832
Economic development;Current payments;Compensation of employees;2021;23385054
Economic development;Current payments;Compensation of employees;2022;24685379
Economic development;Current payments;Compensation of employees;2023;25424190
Economic development;Current payments;Compensation of employees;2024;26700326
Economic development;Transfers and subsidies;Departmental agencies and accounts;2018;1795589
Economic development;Transfers and subsidies;Departmental agencies and accounts;2019;2206438
Economic development;Transfers and subsidies;Departmental agencies and accounts;2020;1482907
Economic development;Payments for financial assets;Payments for financial assets;2018;370645
Economic development;Payments for financial assets;Payments for financial assets;2019;85237
Economic development;Payments for financial assets;Payments for financial assets;2020;450426
Economic development;Payments for financial assets;Payments for financial assets;2021;62034
Economic development;Transfers and subsidies;Households;2018;43920
Economic development;Transfers and subsidies;Households;2019;74955
Economic development;Transfers and subsidies;Households;2020;110594
Economic development;Transfers and subsidies;Households;2021;111391
Economic development;Transfers and subsidies;Households;2022;94557
Economic development;Transfers and subsidies;Households;2023;96675
Economic development;Transfers and subsidies;Households;2024;107333
Economic development;Transfers and subsidies;Departmental agencies and accounts;2018;2879641
Economic development;Transfers and subsidies;Departmental agencies and accounts;2019;3666158
Economic development;Transfers and subsidies;Departmental agencies and accounts;2020;3398452
Economic development;Transfers and subsidies;Departmental agencies and accounts;2021;4432325
Economic development;Transfers and subsidies;Departmental agencies and accounts;2022;3292410
Economic development;Transfers and subsidies;Departmental agencies and accounts;2023;3186289
Economic development;Transfers and subsidies;Departmental agencies and accounts;2024;3140127
Economic development;Transfers and subsidies;Public corporations and private enterprises;2018;8566600
Economic development;Transfers and subsidies;Public corporations and private enterprises;2019;9911839
Economic development;Transfers and subsidies;Public corporations and private enterprises;2020;8258267
Economic development;Transfers and subsidies;Public corporations and private enterprises;2021;11084986
Economic development;Transfers and subsidies;Public corporations and private enterprises;2022;9591317
Economic development;Transfers and subsidies;Public corporations and private enterprises;2023;9646516
